,Company,TypeName,Ram,Gpu,OpSys,Weight,Price,Touchscreen,IPS,Full HD,Quad HD+,4K Ultra HD,Retina Display,ppi,SSD,HDD,Flash,Hybrid,CPU Brand,AMD,Nvidia
249,Apple,Ultrabook,8,Intel,Mac OS,1.37,108691.2,0,1,0,0,0,1,226.98300468106115,512.0,0.0,0.0,0.0,Intel Core i5,other,other
250,Dell,2 in 1 Convertible,8,Intel,Windows,2.08,43636.32,1,1,1,0,0,0,141.21199808219862,0.0,1024.0,0.0,0.0,Intel Core i7,other,other
251,Asus,Gaming,16,Nvidia,Windows,4.3,95850.72,0,0,1,0,0,0,127.33567457123111,256.0,1024.0,0.0,0.0,Intel Core i7,other,Nvidia GeForce GTX 980M
252,Asus,Notebook,4,AMD,Windows,1.68,24988.32,0,0,0,0,0,0,100.45466986113651,0.0,1024.0,0.0,0.0,AMD,AMD Radeon R5 M420,other
253,Lenovo,2 in 1 Convertible,8,Intel,Windows,1.37,98514.72,1,1,1,0,0,0,158.48253022174808,512.0,0.0,0.0,0.0,Intel Core i7,other,other
254,Acer,Notebook,4,Nvidia,Windows,3.0,37402.56,0,1,1,0,0,0,127.33567457123111,256.0,0.0,0.0,0.0,Intel Core i3,other,Nvidia GeForce MX130
255,Dell,Ultrabook,8,Intel,Windows,1.41,50562.72,0,0,1,0,0,0,165.6321180513006,256.0,0.0,0.0,0.0,Intel Core i5,other,other
256,HP,Notebook,8,AMD,Windows,1.91,23757.552,0,0,0,0,0,0,100.45466986113651,128.0,0.0,0.0,0.0,AMD,AMD Radeon R4 Graphics,other
257,HP,Notebook,16,Nvidia,Windows,2.9,56423.52,0,1,1,0,0,0,127.33567457123111,0.0,1024.0,0.0,0.0,Intel Core i7,other,Nvidia GeForce MX150
258,MSI,Gaming,16,Nvidia,Windows,4.14,133146.72,0,0,1,0,0,0,127.33567457123111,512.0,1024.0,0.0,0.0,Intel Core i7,other,Nvidia GeForce GTX 1070
259,Lenovo,2 in 1 Convertible,8,Nvidia,Windows,2.0,90522.72,1,1,1,0,0,0,141.21199808219862,512.0,0.0,0.0,0.0,Intel Core i7,other,Nvidia GeForce GTX 1050M
260,Dell,Notebook,8,AMD,Windows,2.8,60845.76,0,0,1,0,0,0,127.33567457123111,128.0,1024.0,0.0,0.0,Intel Core i7,AMD Radeon 530,other
261,Lenovo,Notebook,4,Intel,Linux/Android/others,2.2,23656.32,0,0,1,0,0,0,141.21199808219862,256.0,0.0,0.0,0.0,Intel Core i3,other,other
262,HP,Notebook,4,Intel,Windows,2.1,38468.16,0,1,1,0,0,0,141.21199808219862,0.0,500.0,0.0,0.0,Intel Core i5,other,other
263,Dell,Notebook,4,Intel,Windows,2.18,35004.96,0,0,1,0,0,0,141.21199808219862,0.0,1024.0,0.0,0.0,Intel Core i5,other,other
264,Dell,Notebook,8,AMD,Windows,2.24,30103.2,0,0,1,0,0,0,141.21199808219862,0.0,1024.0,0.0,0.0,Intel Core i5,AMD Radeon R5 M430,other
265,Dell,2 in 1 Convertible,8,Intel,Windows,2.67,42570.72,1,0,1,0,0,0,141.21199808219862,256.0,0.0,0.0,0.0,Intel Core i5,other,other
266,Asus,2 in 1 Convertible,8,Intel,Windows,1.1,79866.72,1,0,1,0,0,0,165.6321180513006,1024.0,0.0,0.0,0.0,Intel Core i7,other,other
267,Lenovo,Notebook,4,Intel,Linux/Android/others,2.2,24881.76,0,0,1,0,0,0,141.21199808219862,0.0,1024.0,0.0,0.0,Intel Core i5,other,other
268,HP,Notebook,8,Nvidia,Windows,2.5,54239.04,0,0,1,0,0,0,127.33567457123111,0.0,1024.0,0.0,0.0,Intel Core i7,other,Nvidia GeForce 930MX 
269,Lenovo,Notebook,8,Intel,Windows,2.05,46886.4,0,0,1,0,0,0,141.21199808219862,256.0,0.0,0.0,0.0,Intel Core i7,other,other
270,Apple,Ultrabook,8,Intel,Mac OS,1.37,104370.192,0,1,0,0,0,1,226.98300468106115,512.0,0.0,0.0,0.0,Intel Core i5,other,other
271,Asus,Gaming,16,AMD,Windows,3.2,82530.72,0,0,1,0,0,0,127.33567457123111,256.0,1024.0,0.0,0.0,AMD,AMD Radeon RX 580,other
272,Dell,Notebook,8,AMD,Linux/Android/others,2.14,39164.5296,0,0,1,0,0,0,141.21199808219862,256.0,0.0,0.0,0.0,Intel Core i7,AMD Radeon 520,other
273,Lenovo,2 in 1 Convertible,16,Intel,Windows,1.36,133146.72,1,0,0,0,0,0,209.8006828649808,512.0,0.0,0.0,0.0,Intel Core i7,other,other
274,Toshiba,Notebook,8,Nvidia,Windows,2.2,43263.36,0,0,0,0,0,0,100.45466986113651,0.0,500.0,0.0,0.0,Intel Core i7,other,Nvidia GeForce 930M
275,Dell,Notebook,12,Intel,Windows,2.3,37992.3696,0,0,0,0,0,0,100.45466986113651,0.0,1024.0,0.0,0.0,Intel Core i7,other,other
276,Dell,Notebook,8,AMD,Linux/Android/others,2.8,58554.72,0,0,1,0,0,0,127.33567457123111,128.0,1024.0,0.0,0.0,Intel Core i7,AMD Radeon 530,other
277,Acer,Notebook,8,Nvidia,Windows,2.2,39693.6,0,1,1,0,0,0,141.21199808219862,0.0,1024.0,0.0,0.0,Intel Core i7,other,Nvidia GeForce MX130
278,Lenovo,Notebook,4,Intel,Windows,2.8,26053.92,0,0,0,0,0,0,106.11306214269258,0.0,1024.0,0.0,0.0,Intel Core i3,other,other
279,Lenovo,Notebook,8,Nvidia,Linux/Android/others,2.8,45234.72,0,0,1,0,0,0,127.33567457123111,0.0,2048.0,0.0,0.0,Intel Core i7,other,Nvidia GeForce MX150
280,Lenovo,Notebook,6,Nvidia,Windows,2.8,45767.52,0,0,0,0,0,0,106.11306214269258,128.0,1024.0,0.0,0.0,Intel Core i7,other,Nvidia GeForce 940MX
281,Dell,Notebook,4,AMD,Linux/Android/others,2.25,22803.84,0,0,1,0,0,0,141.21199808219862,0.0,1024.0,0.0,0.0,Intel Core i3,AMD Radeon R5 M430,other
282,Lenovo,Gaming,8,Nvidia,Windows,2.5,44169.12,0,1,1,0,0,0,141.21199808219862,256.0,0.0,0.0,0.0,Intel Core i5,other,Nvidia GeForce GTX 1050
283,Lenovo,Notebook,6,Intel,Windows,2.2,30849.12,0,0,1,0,0,0,141.21199808219862,256.0,0.0,0.0,0.0,Intel Core i5,other,other
284,Acer,Notebook,8,Nvidia,Windows,3.0,50669.28,0,1,1,0,0,0,141.21199808219862,256.0,0.0,0.0,0.0,Intel Core i7,other,Nvidia GeForce MX150
285,Acer,Notebook,12,Intel,Windows,2.15,35111.52,1,1,1,0,0,0,141.21199808219862,0.0,1024.0,0.0,0.0,Intel Core i7,other,other
286,Lenovo,Notebook,8,Intel,Windows,1.95,58448.16,0,1,1,0,0,0,141.21199808219862,256.0,0.0,0.0,0.0,Intel Core i7,other,other
287,Asus,Ultrabook,8,Nvidia,Windows,1.7,52054.56,0,0,1,0,0,0,141.21199808219862,256.0,0.0,0.0,0.0,Intel Core i5,other,Nvidia GeForce 940MX
288,Lenovo,Gaming,16,Nvidia,Windows,2.5,62817.12,0,1,1,0,0,0,141.21199808219862,256.0,1024.0,0.0,0.0,Intel Core i7,other,Nvidia GeForce GTX 1050 Ti
289,Lenovo,Notebook,8,Nvidia,Linux/Android/others,2.2,35112.0528,0,0,1,0,0,0,141.21199808219862,0.0,1024.0,0.0,0.0,Intel Core i7,other,Nvidia GeForce 940MX
290,Acer,Notebook,2,Intel,Linux/Android/others,2.19,10602.72,0,0,0,0,0,0,100.45466986113651,16.0,0.0,0.0,0.0,Intel Celeron,other,other
291,Asus,Gaming,8,Nvidia,Windows,3.0,63243.36,0,0,1,0,0,0,127.33567457123111,0.0,1024.0,0.0,0.0,Intel Core i7,other,Nvidia GeForce GTX 1050
292,HP,Notebook,8,Intel,Windows,2.54,26053.92,0,0,0,0,0,0,106.11306214269258,0.0,1024.0,0.0,0.0,Intel Core i3,other,other
293,Dell,Notebook,8,Nvidia,Windows,2.0,97449.12,0,0,1,0,0,0,141.21199808219862,256.0,0.0,0.0,0.0,Intel Core i7,other,Nvidia GeForce GTX 1050
294,Lenovo,Notebook,8,Intel,Windows,2.05,39373.92,0,0,1,0,0,0,141.21199808219862,256.0,0.0,0.0,0.0,Intel Core i5,other,other
295,Lenovo,Gaming,8,Nvidia,Windows,3.2,69210.72,0,1,1,0,0,0,141.21199808219862,0.0,1024.0,0.0,0.0,Intel Core i7,other,Nvidia GeForce GTX 1060
296,Acer,Notebook,8,Nvidia,Linux/Android/others,2.5,52161.12,0,0,1,0,0,0,141.21199808219862,256.0,0.0,0.0,0.0,Intel Core i7,other,Nvidia GeForce GTX 1050 Ti
297,Dell,Workstation,16,Nvidia,Windows,3.42,153705.3408,0,0,1,0,0,0,127.33567457123111,256.0,0.0,0.0,0.0,Intel Core i7,other,Nvidia Quadro M1200
298,Lenovo,Notebook,6,AMD,Windows,2.4,26586.72,0,0,1,0,0,0,141.21199808219862,0.0,1024.0,0.0,0.0,AMD,AMD Radeon R5 430,other
299,Asus,Ultrabook,16,Nvidia,Windows,1.63,78215.04,0,0,1,0,0,0,141.21199808219862,512.0,0.0,0.0,0.0,Intel Core i7,other,Nvidia GeForce 940MX
300,Asus,Notebook,4,Intel,Windows,1.3,27119.52,0,0,0,0,0,0,111.93520355955211,128.0,0.0,0.0,0.0,Intel Core i3,other,other
301,Asus,Gaming,16,Nvidia,Windows,2.9,113060.16,0,0,1,0,0,0,127.33567457123111,256.0,1024.0,0.0,0.0,Intel Core i7,other,Nvidia GeForce GTX 1070
302,Lenovo,Notebook,6,Nvidia,Windows,2.8,34578.72,0,0,0,0,0,0,106.11306214269258,0.0,1024.0,0.0,0.0,Intel Core i5,other,Nvidia GeForce GTX 940M
303,Lenovo,Notebook,8,Nvidia,Linux/Android/others,2.2,29250.72,0,0,0,0,0,0,100.45466986113651,0.0,2048.0,0.0,0.0,Intel Core i5,other,Nvidia GeForce 940MX
304,Asus,Gaming,8,Nvidia,Windows,2.5,67399.2,0,0,1,0,0,0,141.21199808219862,128.0,1024.0,0.0,0.0,Intel Core i7,other,Nvidia GeForce GTX 1050 Ti
305,Lenovo,Notebook,4,Intel,Linux/Android/others,2.2,19180.2672,0,0,0,0,0,0,100.45466986113651,0.0,1024.0,0.0,0.0,Other Intel,other,other
306,HP,2 in 1 Convertible,16,Intel,Windows,1.28,105228.0,1,0,1,0,0,0,165.6321180513006,256.0,0.0,0.0,0.0,Intel Core i7,other,other
307,Toshiba,Notebook,8,Nvidia,Windows,2.2,55571.04,0,1,1,0,0,0,141.21199808219862,256.0,0.0,0.0,0.0,Intel Core i7,other,Nvidia GeForce 930M
308,Lenovo,Notebook,8,Nvidia,Windows,2.3,43636.32,0,0,1,0,0,0,141.21199808219862,128.0,1024.0,0.0,0.0,Intel Core i5,other,Nvidia GeForce 940MX
309,HP,Notebook,4,Intel,Windows,1.86,24988.32,0,0,1,0,0,0,141.21199808219862,0.0,1024.0,0.0,0.0,Intel Core i3,other,other
310,Lenovo,Notebook,8,Intel,Windows,1.1,53226.72,0,1,1,0,0,0,165.6321180513006,256.0,0.0,0.0,0.0,Intel Core i5,other,other
311,Dell,Ultrabook,16,Intel,Windows,1.21,133146.72,1,1,0,0,1,0,331.2642361026012,1024.0,0.0,0.0,0.0,Intel Core i7,other,other
312,MSI,Gaming,16,Nvidia,Windows,2.8,111834.72,0,1,1,0,0,0,141.21199808219862,256.0,1024.0,0.0,0.0,Intel Core i7,other,Nvidia GeForce GTX 1070
313,Acer,Notebook,8,AMD,Windows,2.23,24988.32,0,0,1,0,0,0,141.21199808219862,256.0,0.0,0.0,0.0,AMD,AMD Radeon R5,other
314,Asus,2 in 1 Convertible,2,Intel,Windows,1.1,14652.0,1,0,0,0,0,0,135.0942111925629,0.0,0.0,32.0,0.0,Intel Celeron,other,other
315,Dell,Notebook,8,AMD,Windows,2.33,44968.32,0,0,1,0,0,0,141.21199808219862,128.0,1024.0,0.0,0.0,Intel Core i5,AMD Radeon 530,other
316,HP,2 in 1 Convertible,16,Intel,Windows,1.29,130482.72,1,1,0,0,1,0,331.2642361026012,1024.0,0.0,0.0,0.0,Intel Core i7,other,other
317,Lenovo,Notebook,4,Intel,Linux/Android/others,1.45,24503.472,0,0,0,0,0,0,117.82653006268643,0.0,0.0,16.0,0.0,Intel Celeron,other,other
318,HP,Notebook,8,Intel,Windows,1.95,52214.4,0,0,1,0,0,0,157.3505121487356,256.0,0.0,0.0,0.0,Intel Core i5,other,other
319,Acer,Notebook,4,Intel,Windows,1.4,25840.8,0,0,0,0,0,0,135.0942111925629,0.0,0.0,128.0,0.0,Other Intel,other,other
320,HP,Notebook,8,Intel,Windows,1.48,68837.76,0,0,1,0,0,0,157.3505121487356,256.0,0.0,0.0,0.0,Intel Core i7,other,other
321,Lenovo,Notebook,4,Nvidia,Windows,2.79,31381.92,0,0,0,0,0,0,106.11306214269258,0.0,1024.0,0.0,0.0,Intel Core i5,other,Nvidia GeForce 920MX
322,Asus,Notebook,8,Intel,Windows,2.0,58288.32,0,0,1,0,0,0,157.3505121487356,256.0,0.0,0.0,0.0,Intel Core i7,other,other
323,HP,Notebook,8,Intel,Windows,2.1,48058.56,0,1,1,0,0,0,100.45466986113651,0.0,1024.0,0.0,0.0,Intel Core i7,other,other
324,Acer,Notebook,8,AMD,Windows,2.2,35111.52,0,0,0,0,0,0,100.45466986113651,256.0,0.0,0.0,0.0,AMD,AMD Radeon RX 540,other
325,Lenovo,Notebook,4,Intel,Windows,1.44,15557.76,0,0,0,0,0,0,111.93520355955211,0.0,0.0,32.0,0.0,Intel Celeron,other,other
326,Acer,Notebook,6,Intel,Windows,2.23,29250.72,0,0,0,0,0,0,100.45466986113651,0.0,1024.0,0.0,0.0,Intel Core i5,other,other
327,Asus,Ultrabook,8,Nvidia,Windows,1.7,55938.672,0,0,1,0,0,0,141.21199808219862,256.0,0.0,0.0,0.0,Intel Core i7,other,Nvidia GeForce 940MX
328,HP,Ultrabook,8,Intel,Windows,1.26,71128.8,0,0,1,0,0,0,176.23257360658386,256.0,0.0,0.0,0.0,Intel Core i7,other,other
329,Dell,Notebook,32,Nvidia,Windows,2.06,140605.91999999998,1,0,0,0,1,0,282.42399616439724,1024.0,0.0,0.0,0.0,Intel Core i7,other,Nvidia GeForce GTX 1050
330,MSI,Gaming,8,Nvidia,Windows,2.7,63882.72,0,0,1,0,0,0,127.33567457123111,256.0,1024.0,0.0,0.0,Intel Core i7,other,Nvidia GeForce GTX 1050 Ti
331,Toshiba,Notebook,8,Intel,Windows,2.0,50243.04,0,1,1,0,0,0,141.21199808219862,256.0,0.0,0.0,0.0,Intel Core i5,other,other
332,Asus,Notebook,8,Intel,Windows,2.0,71075.52,0,0,1,0,0,0,157.3505121487356,256.0,1024.0,0.0,0.0,Intel Core i7,other,other
333,Lenovo,Notebook,4,Intel,Windows,1.85,23922.72,0,0,1,0,0,0,141.21199808219862,0.0,1024.0,0.0,0.0,Intel Core i3,other,other
334,Asus,Gaming,8,Nvidia,Windows,2.5,53226.72,0,0,1,0,0,0,141.21199808219862,256.0,0.0,0.0,0.0,Intel Core i7,other,Nvidia GeForce GTX 1050
335,HP,Notebook,8,Intel,Windows,1.48,67559.04,0,0,1,0,0,0,157.3505121487356,256.0,0.0,0.0,0.0,Intel Core i5,other,other
336,Dell,Ultrabook,8,Nvidia,Windows,1.9,55890.72,0,1,1,0,0,0,141.21199808219862,128.0,1024.0,0.0,0.0,Intel Core i5,other,Nvidia GeForce 940MX
337,HP,Notebook,8,Intel,Windows,1.84,60952.32,0,0,1,0,0,0,141.21199808219862,256.0,0.0,0.0,0.0,Intel Core i5,other,other
338,Asus,Notebook,4,Intel,Linux/Android/others,2.0,14651.4672,0,0,0,0,0,0,100.45466986113651,0.0,1024.0,0.0,0.0,Intel Celeron,other,other
339,Dell,Notebook,8,Nvidia,Windows,2.0,60885.72,0,0,1,0,0,0,141.21199808219862,256.0,0.0,0.0,0.0,Intel Core i5,other,Nvidia GeForce 940MX
340,Dell,Notebook,4,Intel,Linux/Android/others,2.2,14646.672,0,0,0,0,0,0,100.45466986113651,0.0,500.0,0.0,0.0,Intel Celeron,other,other
341,Lenovo,Notebook,12,AMD,Windows,2.2,47898.72,0,0,1,0,0,0,141.21199808219862,0.0,2048.0,0.0,0.0,AMD,AMD Radeon 530,other
342,HP,Notebook,8,Nvidia,Windows,2.1,38148.48,0,1,1,0,0,0,141.21199808219862,0.0,1024.0,0.0,0.0,Intel Core i3,other,Nvidia GeForce 930MX 
343,Lenovo,2 in 1 Convertible,16,Intel,Windows,1.4,111834.72,1,1,0,0,1,0,316.96506044349616,512.0,0.0,0.0,0.0,Intel Core i7,other,other
344,Dell,Ultrabook,8,Intel,Windows,1.2,84129.12,0,0,1,0,0,0,165.6321180513006,256.0,0.0,0.0,0.0,Intel Core i7,other,other
345,Lenovo,Gaming,16,Nvidia,Windows,2.4,60153.12,0,1,1,0,0,0,141.21199808219862,256.0,2048.0,0.0,0.0,Intel Core i7,other,Nvidia GeForce GTX 1050 Ti
346,HP,Notebook,2,Intel,Windows,1.44,14865.12,0,0,0,0,0,0,111.93520355955211,0.0,0.0,32.0,0.0,Intel Celeron,other,other
347,Dell,Ultrabook,16,Intel,Windows,1.88,85672.1088,0,0,1,0,0,0,141.21199808219862,768.0,0.0,0.0,0.0,Intel Core i7,other,other
348,Asus,2 in 1 Convertible,4,Intel,Windows,1.5,19980.0,1,0,0,0,0,0,135.0942111925629,0.0,0.0,32.0,0.0,Intel Celeron,other,other
349,Dell,Ultrabook,8,AMD,Windows,1.9,35324.64,0,0,1,0,0,0,141.21199808219862,0.0,1024.0,0.0,0.0,Intel Core i5,AMD Radeon 530,other
350,Dell,Notebook,16,Nvidia,Windows,2.06,108020.9376,1,0,0,0,1,0,282.42399616439724,512.0,0.0,0.0,0.0,Intel Core i7,other,Nvidia GeForce GTX 1050
351,HP,Notebook,8,Intel,Windows,1.84,69477.12,0,0,1,0,0,0,141.21199808219862,256.0,0.0,0.0,0.0,Intel Core i7,other,other
352,MSI,Gaming,8,Nvidia,Windows,2.7,75071.52,0,0,1,0,0,0,127.33567457123111,128.0,1024.0,0.0,0.0,Intel Core i7,other,Nvidia GeForce GTX 1060
353,HP,Workstation,8,Nvidia,Windows,2.6,92615.0256,0,0,1,0,0,0,141.21199808219862,256.0,0.0,0.0,0.0,Intel Core i7,other,Nvidia Quadro M1200
354,Toshiba,Notebook,16,Nvidia,Windows,2.4,74751.84,0,1,1,0,0,0,141.21199808219862,512.0,0.0,0.0,0.0,Intel Core i7,other,Nvidia GeForce 930M
355,Dell,Notebook,8,AMD,Windows,2.02,51729.55199999999,0,0,1,0,0,0,141.21199808219862,128.0,2048.0,0.0,0.0,Intel Core i7,AMD Radeon 530,other
356,Lenovo,Notebook,4,Intel,Linux/Android/others,2.2,17155.627200000003,0,0,0,0,0,0,100.45466986113651,0.0,1024.0,0.0,0.0,Intel Celeron,other,other
357,Dell,Gaming,8,Nvidia,Windows,2.65,53226.72,0,0,1,0,0,0,141.21199808219862,0.0,1024.0,0.0,0.0,Intel Core i5,other,Nvidia GeForce GTX 1050
358,Dell,Notebook,8,Intel,Windows,2.36,29696.6736,1,0,0,0,0,0,100.45466986113651,0.0,2048.0,0.0,0.0,Intel Core i5,other,other
359,Dell,Notebook,8,Intel,Windows,1.36,76030.56,0,0,1,0,0,0,157.3505121487356,256.0,0.0,0.0,0.0,Intel Core i5,other,other
360,HP,Notebook,4,Intel,Windows,1.86,23389.92,0,0,0,0,0,0,100.45466986113651,0.0,500.0,0.0,0.0,Intel Core i3,other,other
361,Asus,Notebook,8,Intel,Windows,2.0,50349.6,0,0,1,0,0,0,157.3505121487356,256.0,0.0,0.0,0.0,Intel Core i5,other,other
362,Lenovo,Notebook,6,Nvidia,Windows,2.8,38308.32,0,0,0,0,0,0,106.11306214269258,128.0,1024.0,0.0,0.0,Intel Core i5,other,Nvidia GeForce GTX 940MX
363,HP,Notebook,8,Intel,Windows,1.86,34045.92,0,0,1,0,0,0,141.21199808219862,0.0,1024.0,0.0,0.0,Intel Core i5,other,other
364,Lenovo,Notebook,8,Nvidia,Linux/Android/others,2.2,26586.72,0,0,0,0,0,0,100.45466986113651,256.0,0.0,0.0,0.0,Intel Core i3,other,Nvidia GeForce 920MX 
365,HP,Notebook,8,Intel,Windows,2.04,20725.92,0,0,0,0,0,0,100.45466986113651,0.0,2048.0,0.0,0.0,Other Intel,other,other
366,Dell,Notebook,8,AMD,Windows,2.8,57808.8,0,0,1,0,0,0,127.33567457123111,128.0,1024.0,0.0,0.0,Intel Core i5,AMD Radeon 530,other
367,Lenovo,Gaming,8,Nvidia,Linux/Android/others,2.4,43103.52,0,1,1,0,0,0,141.21199808219862,128.0,1024.0,0.0,0.0,Intel Core i5,other,Nvidia GeForce GTX 1050
368,Dell,Notebook,8,AMD,Windows,2.33,47898.72,0,0,1,0,0,0,141.21199808219862,256.0,0.0,0.0,0.0,Intel Core i7,AMD Radeon R7 M445,other
